niche_breadth_scaling_coef,m_immigration,m_immigration_black_mats,nu,dispersal_kernel_slope,i_sim
4,0.009,0.05,1e-6,1e4,1
4,0.01,0.001,1e-6,1e3,2
4,0.09,0.05,1e-6,100,3
20,0.005,0.5,0.01,100,4
20,0.5,0.5,0.01,1e4,5
20,0.01,0.1,0.01,1e3,6
4,0.09,0.1,0.1,1e3,7
20,0.1,0.009,0.01,1e6,8
1,0.05,0.005,1e-5,1e4,9
4,0.009,0.05,1e-4,1e6,10
4,0.9,0.09,0.001,1e3,11
4,0.09,0.1,0.01,1e4,12
1,0.009,0.9,1e-6,1e4,13
20,0.009,0.05,1e-6,100,14
1,0.009,0.9,1e-4,1e6,15
1,0.5,0.009,1e-6,1e3,16
4,0.09,0.5,1e-4,10,17
4,0.01,0.5,0.01,1e6,18
1,0.005,0.1,1e-5,1e3,19
1,0.5,0.005,1e-4,10,20
20,0.01,0.005,0.001,1e6,21
1,0.005,0.9,0.01,100,22
4,0.9,0.009,0.001,10,23
1,0.001,0.01,1e-4,1e6,24
1,0.9,0.5,0.001,1e3,25
20,0.01,0.09,0.01,10,26
20,0.05,0.1,1e-5,100,27
4,0.9,0.5,0.1,1e6,28
4,0.05,0.005,1e-6,1e3,29
1,0.001,0.1,1e-4,100,30
20,0.001,0.01,0.1,1e3,31
1,0.009,0.5,1e-5,100,32
4,0.1,0.9,1e-4,1e3,33
4,0.05,0.009,1e-6,10,34
4,0.005,0.1,1e-4,1e6,35
1,0.9,0.1,0.1,1e5,36
4,0.05,0.5,1e-6,100,37
1,0.05,0.009,0.001,1e6,38
20,0.09,0.005,1e-6,10,39
4,0.1,0.1,1e-5,1e5,40
20,0.001,0.01,0.1,10,41
4,0.1,0.005,0.001,1e6,42
1,0.9,0.05,1e-6,10,43
4,0.05,0.1,1e-5,10,44
4,0.09,0.005,0.1,100,45
1,0.009,0.9,0.01,1e4,46
20,0.9,0.1,0.1,1e5,47
1,0.05,0.05,1e-6,1e4,48
4,0.009,0.09,1e-6,1e3,49
4,0.01,0.1,1e-6,1e6,50
4,0.005,0.5,1e-6,1e3,51
20,0.009,0.9,1e-5,1e3,52
1,0.9,0.05,1e-6,1e6,53
20,0.001,0.5,1e-5,1e5,54
4,0.05,0.05,0.01,10,55
4,0.1,0.1,0.001,100,56
4,0.09,0.1,1e-4,1e6,57
1,0.9,0.9,1e-5,100,58
4,0.9,0.001,1e-4,1e4,59
1,0.1,0.005,0.01,1e4,60
20,0.05,0.1,1e-5,1e3,61
1,0.09,0.09,0.01,100,62
1,0.09,0.05,0.1,1e6,63
1,0.01,0.9,0.1,1e5,64
1,0.1,0.01,1e-4,1e5,65
1,0.009,0.001,0.1,1e3,66
20,0.001,0.01,0.001,1e4,67
1,0.009,0.5,0.001,100,68
4,0.05,0.01,0.1,1e3,69
1,0.005,0.09,0.001,1e5,70
4,0.009,0.1,1e-4,1e3,71
4,0.005,0.001,1e-5,1e5,72
20,0.9,0.05,0.1,1e3,73
1,0.009,0.009,0.001,1e5,74
1,0.01,0.05,0.001,1e6,75
4,0.001,0.001,0.1,10,76
1,0.1,0.001,1e-6,1e5,77
1,0.9,0.1,0.1,10,78
4,0.05,0.005,1e-6,1e3,79
4,0.01,0.1,0.1,10,80
20,0.1,0.005,1e-6,1e3,81
20,0.09,0.9,1e-4,1e4,82
4,0.09,0.09,1e-5,1e5,83
20,0.05,0.01,0.01,1e5,84
1,0.1,0.009,1e-5,10,85
20,0.001,0.009,1e-4,10,86
4,0.009,0.9,0.01,100,87
4,0.09,0.005,1e-4,100,88
4,0.05,0.1,0.001,1e5,89
4,0.009,0.5,1e-6,1e6,90
4,0.005,0.1,1e-4,1e3,91
1,0.01,0.9,0.01,10,92
20,0.009,0.001,0.001,1e4,93
1,0.001,0.9,0.01,1e6,94
1,0.5,0.09,1e-4,1e5,95
20,0.9,0.9,0.001,100,96
1,0.09,0.009,0.1,1e4,97
20,0.001,0.5,0.1,10,98
1,0.05,0.05,0.001,1e4,99
20,0.5,0.5,1e-4,1e3,100
1,0.01,0.5,1e-4,1e4,101
4,0.005,0.09,1e-5,100,102
1,0.005,0.001,1e-6,1e3,103
4,0.05,0.01,0.01,1e5,104
4,0.5,0.005,1e-4,100,105
1,0.5,0.5,1e-4,1e4,106
20,0.05,0.005,0.1,1e3,107
1,0.09,0.1,1e-5,10,108
4,0.09,0.005,0.001,10,109
4,0.9,0.009,0.1,1e5,110
20,0.9,0.005,0.1,1e6,111
1,0.01,0.009,1e-5,1e4,112
1,0.01,0.005,0.01,1e3,113
1,0.1,0.01,0.1,10,114
4,0.5,0.9,0.001,1e6,115
1,0.009,0.9,1e-6,10,116
20,0.001,0.009,1e-4,100,117
