scenario_id,sim_file_name,sim_id,niche_scaling,nu,w,m_black_mats,m_other,proportion_black_mats,proportion_orange_mats,proportion_red_mats,proportion_green_mats,proportion_biomass_black_mats,proportion_biomass_orange_mats,proportion_biomass_red_mats,proportion_biomass_green_mats,m_ratio_black_over_other
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-2639_2019-08-30_012201_20190830_012431.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-2639_2019-08-30_012201_20190830_012431,1,0.001,10,0.9,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,900
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-3278_2019-08-30_031511_20190830_031741.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-3278_2019-08-30_031511_20190830_031741,1,0.001,10,0.009,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,9
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4128_2019-08-30_054603_20190830_054824.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4128_2019-08-30_054603_20190830_054824,1,0.001,10,0.05,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,50
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4947_2019-08-30_080857_20190830_081127.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4947_2019-08-30_080857_20190830_081127,1,0.001,10,0.005,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,5
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5024_2019-08-30_082221_20190830_082450.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5024_2019-08-30_082221_20190830_082450,1,0.001,10,0.1,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,100
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5865_2019-08-30_105120_20190830_105342.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5865_2019-08-30_105120_20190830_105342,1,0.001,10,0.001,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,1
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9113_2019-08-30_202107_20190830_202340.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9113_2019-08-30_202107_20190830_202340,1,0.001,10,0.001,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,1
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9612_2019-08-30_214651_20190830_214923.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9612_2019-08-30_214651_20190830_214923,1,0.001,10,0.001,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,1
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-1351_2019-08-29_213642_20190829_213902.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-1351_2019-08-29_213642_20190829_213902,1,0.001,100,0.09,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,90
streamMetacommunities,C:/Users/esokol/Box/PROJECTS/B235/Metacomm Sims/R_sims_v2_10000_reps/SIM_RESULTS/SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-4028_2019-08-30_052741_20190830_053012.rda,SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-4028_2019-08-30_052741_20190830_053012,1,0.001,100,0.05,0.001,0.384,0.616,0,0,0.3869339110972458,0.6130660889027542,0,0,50
