SAMPLE ID,ACCESSION NUMBER,TRANSECT NAME,STREAM ABBREVIATION,LATITUDE_DD,LONGITUDE_DD,COLLECTION DATE,SEASON,MAT TYPE,AFDM (mg/cm2),CHL-A (ug/cm2),TOTAL_ANNUAL_DISCHARGE (L),VALVES COUNTED PER SAMPLE,Unknown,Marine diatom fragments,record_no,region,Achnanthes,Psammothidium papilio,Psammothidium germainii,Achnanthes taylorensis,Amphora,Amphora cf. oligotraphenta,Craticula molestiformis,Humidophila,Humidophilia arcuata var. parallela,Humidophila australis,Humidophila arcuata,Microcostatus naumannii,Fistulifera,Fistulifera pelliculosa,Hantzschia,Hantzschia amphioxys,Hantzschia abundans,Hantzschia sp. #2,Hantzschia hyperaustralis,Hantzschia amphioxys f. muelleri,Luticola,Luticola bradyi,Luticola gaussii,Luticola laeta,Luticola murrayi,Luticola mutica,Luticola muticopsis,Luticola dolia,Luticola permuticopsis,Luticola mcknightiae,Luticola muticopsis fo. reducta,Luticola austroatlantica,Mayamaea,Mayamaea atomus var. #1,Mayamaea atomus,Mayamaea atomus fo. permitis,Muelleria,Muelleria meridionalis,Muelleria peraustralis,Muelleria supra,Navicula,Navicula seibigiana,Navicula gregaria,Navicula shackletoni,Navicula gregaria_1,Nitzschia,Nitzschia australocommutata,Nitzschia sp. #2,Nitzschia westiorum,Pinnularia,Pinnularia borealis,Chamaepinnularia cymatopleura,Chamaepinnularia quaternaria,Chamaepinnularia deltaica,Chamaepinnularia cymatopleura var. #3,Stauroneis latistauros,Stauronella,Craspedostauros laevissiumus,Melosira charcotii,Luticola sp. #2,Luticola spp.,Hantzschia spp.,Navicula lineola var. perlepida,Luticola sp. #3,Muelleria cryoconicola,Luticola australomutica,Achnanthidium minutissimum,Adlafia bryophila,Amphora veneta,Aulacoseira distans,Chamaepinnularia sp.#2,Frankophila maillardii,Frustulia vulgaris,Luticola muticopsis_1,Mayamaea fossalis var. fossalis,Melosira echinata,Muelleria luculenta,Nitzschia angustatula,Nitzschia fonticola,Nitzschia sp.#1,Pinnuavis genustriata,Pinnularia kolbei,Pinnularia pisciculus,Planothidium delicatulum,Planothidium quadripunctatum,Rhopalodia rupestris,Stauroneis smithii var. sagitta,Tabularia fasciculata,Chamaepinnularia aliena,Hantzschia elongata,Luticola elegans,Luticola transantarctica
03CAG1994B04,217,Canada Gauge,CAG,-77.61325,163.0526944,1/13/1994,1994,black,19.07488987,146.2414141,130137741,337.7,0,7.8,1,canada_huey,0,60.3,0,0,0,0.6,0.7,0,96.2,10.5,10.5,0,0,0,11,14.6,1.5,0,0,3.3,7.6,0,1.5,0.4,0,14,12.3,0.2,1.8,11.2,7.1,14.1,0,1,4.2,0,0.8,10,9.7,2,0,0,0,0,0,0,4,0,0.6,0.8,6.3,0,0,0,0,8.4,0,0,0,1,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2012B03,925,Von Guerard Gauge,VGG,-77.609226,163.255299,1/19/2012,2012,black,23.21585903,52.85099036,40636683,325.7,0,0,2,delta_harnish_crescent_vg,0,0,0,0.6,0,1,1,0,2,0,0,0,0,26,2.2,21,28,0,0,22,4,0,0,1,0,12.5,134,1,7,3,0,38,0,0,8,4,0,1,0,0,0,0.5,0,0,0,0,4.2,0,0.2,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2013B03,2394,Von Guerard Gauge,VGG,-77.609226,163.255299,1/14/2013,2013,black,49.38325991,44.731837,16980732,455.7,0,0,3,delta_harnish_crescent_vg,0,0,0,27.6,0,0,0,0,0,0,8,0,0,0,17,43.9,40.7,0,1.5,5.7,2,0,0,11.4,1,0,0,26.1,8.4,118.2,0,70.2,0,1,0,0,0,2,0,0,0,17.8,0,4,0,0,1.5,0,0,0,0,3.2,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
06VGM2012B02,913,Von Guerard Middle,VGM,-77.613889,163.259444,1/11/2012,2012,black,27.2246696,40.27760423,40636683,353.5,0,0,4,delta_harnish_crescent_vg,0,1,0,0,0,1,1,0,13,2,0,0,0,5,14,65.5,23,0,0.7,61.7,2.6,0,0,1,0,11,51.5,0,9.7,0,0,43.5,0,8.5,13,0,0,0,2,0,0,3.2,0,0,0,0,6.4,0,0,0,0,0,0.5,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06VGM2012B01,912,Von Guerard Middle,VGM,-77.613889,163.259444,1/11/2012,2012,black,22.2907489,37.40102143,40636683,326.9,0,0,5,delta_harnish_crescent_vg,0,0,0,3.7,0,4,0,0,15,0,0,0,0,7,7,32,42.5,0,0,37.6,1.4,0,0,6,0,15,70,8,10.4,5,0,42.5,0,0,3,1,0.2,4,2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.5,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03CAG1994B01,244,Canada Gauge,CAG,-77.61325,163.0526944,1/13/1994,1994,black,14.44933921,36.97924229,130137741,345.4,0,0,6,canada_huey,0,55.7,0,0,0,2,1,0,89.6,11,10,0,0,0,5.1,5.6,14.8,0,0,11.1,0,0,6,0,0,31,8,0,0,0,0,46.7,0,3,6,0,0,13.5,1,0,0,0,0,0,0,0,1,0,0,0,14.6,0,0,2,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03CAG2008B04,825,Canada Gauge,CAG,-77.6,163.05,12/11/2007,2008,black,16.51982379,35.53283132,237549708,361.3,0,0,7,canada_huey,0,69.5,0,0,0,1,5,0,89,24,16,0,0,0,0,12,11,0,0,16,0,0,6,1,0,7.5,14,0,1,3,5,25.5,0,1.5,1,0,0,5.5,5.8,0.5,0,0,0,0,0,0,2.8,0,0,0,31.5,0,0,0.7,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2012O03,918,Von Guerard Gauge,VGG,-77.613889,163.259444,1/19/2012,2012,orange,15.99118943,31.1515958,40636683,349.5,0,0,8,delta_harnish_crescent_vg,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,7,34,0,0,18.4,3.4,0,0,10,0,18.5,159,4,24,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09GRN1995B03,629,Green,GRN,-77.6,163.05,1/22/1995,1995,black,18.53295979,27.1629858,27232074,333.6,0,0,9,green_bowles,0,2,0,0,0,4,3,0,23,3,3,0,0,0,0,2.5,231.7,0,1,5.5,0,0,0,0,0,12,4,1,1.5,0,1,8,0,2,0,0,0,1,2.5,0,0,0,0,0,0,0,4.5,0,0.5,0,0,0,0.5,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2010B01,1105,Von Guerard Gauge,VGG,-77.6092258,163.2552989,1/27/2010,2010,black,14.88986784,26.83481523,93741201,323.4,0,0,10,delta_harnish_crescent_vg,0,0,0,8.3,0,0,0,0,2,0,0,0,0,1,21,28,40,0,2,5,15.6,0,1,7.5,0,7.5,9,12,16.5,40.5,0,43,0,3.5,47,0,0.2,2,0,0,0,0,0,0,0,0,6.7,0,1,0,0,0,0,1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
